Period_years,Power
20.0,0.7197293962519957
19.82142857142857,0.7196692589335797
19.646017699115045,0.7196264414145845
19.473684210526315,0.7196016022837767
19.304347826086957,0.7195953957081469
19.13793103448276,0.7196084688287449
18.974358974358974,0.7196414589247577
18.813559322033896,0.7196949903372016
18.655462184873947,0.7197696711444126
18.5,0.7198660895825929
18.34710743801653,0.7199848102058529
18.196721311475407,0.7201263697822384
18.04878048780488,0.7202912729236949
17.903225806451612,0.7204799874503275
17.759999999999998,0.7206929394916131
17.61904761904762,0.7209305083303456
17.480314960629922,0.7211930209979767
17.34375,0.7214807466334536
17.209302325581397,0.7217938906217143
17.076923076923077,0.7221325885319277
16.946564885496183,0.7224968998800732
16.81818181818182,0.7228868017450663
16.69172932330827,0.7233021822726732
16.567164179104477,0.7237428341066787
16.444444444444446,0.7242084477918999
16.323529411764707,0.7246986051988707
16.204379562043794,0.7252127730257467
16.086956521739133,0.7257502964377511
15.971223021582734,0.7263103929097636
15.857142857142858,0.7268921463418916
15.744680851063832,0.727494501522569
15.633802816901408,0.7281162590167809
15.524475524475525,0.7287560705598253
15.416666666666666,0.729412435039158
15.310344827586205,0.7300836951473839
15.205479452054794,0.73076803478912
15.10204081632653,0.7314634773226508
14.999999999999998,0.7321678847144166
14.899328859060402,0.7328789576790118
14.799999999999999,0.733594236871921
14.701986754966887,0.7343111051931871
14.605263157894736,0.735026791251615
14.509803921568627,0.7357383740271094
14.415584415584414,0.7364427887563958
14.32258064516129,0.7371368340530733
14.23076923076923,0.7378171802577681
14.140127388535031,0.7384803789978096
14.050632911392405,0.739122873918657
13.962264150943396,0.7397410125323007
13.875,0.7403310591101796
13.788819875776397,0.7408892085311354
13.703703703703704,0.7414116009784667
13.61963190184049,0.7418943373652964
13.536585365853659,0.7423334953529209
13.454545454545455,0.742725145815916
13.373493975903614,0.7430653695969651
13.293413173652695,0.7433502743880422
13.214285714285714,0.7435760115693896
13.136094674556212,0.7437387928362602
13.058823529411764,0.7438349064445023
12.982456140350877,0.743860732910361
12.906976744186046,0.7438127600068648
12.832369942196532,0.7436875969087944
12.75862068965517,0.743481987350885
12.685714285714285,0.7431928216783031
12.613636363636365,0.7428171476849804
12.54237288135593,0.7423521801533131
12.47191011235955,0.7417953090283472
12.402234636871507,0.741144106178541
12.333333333333332,0.7403963307164945
12.265193370165745,0.7395499328716731
12.197802197802199,0.7386030564274751
12.131147540983605,0.7375540397528855
12.065217391304348,0.7364014154759606
11.999999999999998,0.7351439088622407
11.935483870967742,0.7337804349744292
11.871657754010695,0.7323100947018555
11.808510638297873,0.7307321697573674
11.746031746031745,0.7290461167472708
11.68421052631579,0.7272515604248676
11.623036649214658,0.7253482862417875
11.5625,0.7233362323125916
11.50259067357513,0.7212154809071613
11.443298969072165,0.7189862495839248
11.384615384615383,0.7166488820727608
11.326530612244898,0.7142038390113794
11.269035532994923,0.7116516886336507
11.212121212121211,0.708993097500532
11.155778894472363,0.7062288213573068
11.100000000000001,0.7033596961927336
11.044776119402984,0.7003866295673538
10.990099009900987,0.6973105922698446
10.935960591133004,0.6941326103518236
10.882352941176471,0.690853757584044
10.829268292682928,0.6874751483681406
10.776699029126215,0.6839979311313468
10.72463768115942,0.6804232822243498
10.673076923076922,0.6767524003359588
10.62200956937799,0.6729865014324362
10.571428571428571,0.6691268142238019
10.52132701421801,0.6651745761550271
10.471698113207548,0.6611310299152072
10.422535211267606,0.6569974204546914
10.373831775700934,0.6527749924968709
10.325581395348836,0.6484649885284385
10.277777777777777,0.6440686472501115
10.23041474654378,0.6395872024681456
10.18348623853211,0.6350218824050908
10.136986301369863,0.6303739094079124
10.09090909090909,0.6256445000306697
10.04524886877828,0.6208348654683281
10.0,0.615946212318725
9.955156950672647,0.610979743648905
9.910714285714285,0.6059366603432327
9.866666666666667,0.6008181627099118
9.823008849557521,0.5956254523242338
9.779735682819382,0.5903597340862272
9.736842105263158,0.5850222184716847
9.694323144104803,0.5796141239560371
9.652173913043478,0.5741366795906185
9.61038961038961,0.5685911277125468
9.568965517241379,0.5629787267690282
9.527896995708154,0.5573007542375072
9.487179487179487,0.5515585096250475
9.446808510638299,0.5457533175287499
9.406779661016948,0.5398865307407964
9.367088607594935,0.5339595333824672
9.327731092436974,0.5279737440499427
9.288702928870293,0.5219306189576409
9.25,0.515831655062997
9.211618257261412,0.5096783931576253
9.173553719008265,0.5034724209102152
9.1358024691358,0.4972153758464305
9.098360655737704,0.49090894825074305
9.061224489795919,0.48455488397630325
9.02439024390244,0.4781549871475612
8.987854251012145,0.4717111227421419
8.951612903225806,0.46522521903685315
8.915662650602409,0.4586992699036021
8.879999999999999,0.45213533694132946
8.844621513944222,0.44553555142964285
8.80952380952381,0.4389021160892475
8.774703557312252,0.4322373066364589
8.740157480314961,0.4255434731174194
8.705882352941176,0.4188230410073971
8.671875,0.4120785120643052
8.638132295719844,0.40531246492070744
8.604651162790699,0.39852755540358575
8.571428571428571,0.3917265165694413
8.538461538461538,0.38491215844262794
8.50574712643678,0.3780873674468024
8.473282442748092,0.3712551055196604
8.44106463878327,0.36441840890055566
8.40909090909091,0.3575803865846423
8.377358490566037,0.35074421843520964
8.345864661654135,0.34391315294847663
8.314606741573034,0.3370905046674496
8.283582089552239,0.33027965123981434
8.25278810408922,0.3234840301201871
8.222222222222223,0.31670713491602154
8.191881918819188,0.30995251137813684
8.161764705882351,0.3032237530410782
8.131868131868131,0.29652449651787116
8.102189781021897,0.2898584164563717
8.072727272727272,0.28322922016768914
8.043478260869566,0.27664064193714055
